Código CNAE;Atividade;Descrição
63304;Agências de Viagem;Atividades de agências de viagem e organizadores de viagem
79112;Agências de Viagem;Agências de viagens
7911200;Agências de Viagem;Agências de viagens
79121;Agências de Viagem;Operadores turísticos
7912100;Agências de Viagem;Operadores turísticos
79902;Agências de Viagem;Serviços de reservas e outros serviços de turismo não especificados anteriormente
7990200;Agências de Viagem;Serviços de reservas e outros serviços de turismo não especificados anteriormente
55212;Alimentação;Restaurantes e estabelec. de bebidas, com serviço completo
55220;Alimentação;Lanchonetes e similares
55298;Alimentação;Outros serviços de alimentação
56112;Alimentação;Restaurantes e similares
5611201;Alimentação;Restaurantes e similares
5611202;Alimentação;Bares e outros estabelec. especializados em servir bebidas
5611203;Alimentação;Lanchonetes, casas de chá, sucos e similares
56121;Alimentação;Serviços ambulantes de alimentação
5612100;Alimentação;Serviços ambulantes de alimentação
55131;Alojamento;Estabelecimentos hoteleiros
55190;Alojamento;Outros tipos de alojamento
55108;Alojamento;Hotéis e similares
5510801;Alojamento;Hotéis
5510802;Alojamento;Apart-hotéis
5510803;Alojamento;Motéis
55906;Alojamento;Outros tipos de alojamento não especificados anteriormente
5590601;Alojamento;Albergues, exceto assistenciais
5590602;Alojamento;Campings
5590603;Alojamento;Pensões (alojamento)
5590699;Alojamento;Outros alojamentos não especificados anteriormente
71102;Aluguel de Transportes;Aluguel de automóveis
77110;Aluguel de Transportes;Locação de automóveis sem condutor
7711000;Aluguel de Transportes;Locação de automóveis sem condutor
92312;Cultura e Lazer;Teatro, música e outras atividades artísticas e literárias
92525;Cultura e Lazer;Atividades de museus e de conservação do patrimônio histórico
92533;Cultura e Lazer;Atividades de jardins botânicos, zoológicos, parques nacionais e reservas
92622;Cultura e Lazer;Outras atividades relacionadas ao lazer
90019;Cultura e Lazer;Artes cênicas, espetáculos e atividades não especificadas anteriormente
9001901;Cultura e Lazer;Produção teatral
9001902;Cultura e Lazer;Produção musical
9001903;Cultura e Lazer;Produção de espetáculos de dança
9001904;Cultura e Lazer;Produção de espetáculos circenses, de marionetes e similares
9001905;Cultura e Lazer;Produção de espetáculos de rodeios, vaquejadas e similares
9001999;Cultura e Lazer;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente
91023;Cultura e Lazer;Atividades de museus e de exploração de lugares e prédios históricos e atrações similares
9102301;Cultura e Lazer;Ativ. de museus e de exploração de lugares e prédios históricos e atrações similares
9103100;Cultura e Lazer;Ativ. de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental
92003;Cultura e Lazer;Atividades de exploração de jogos de azar e apostas
9200301;Cultura e Lazer;Casas de bingo
9200302;Cultura e Lazer;Exploração de apostas em corridas de cavalos
9200399;Cultura e Lazer;Exploração de jogos de azar e apostas não especificados anteriormente
93191;Cultura e Lazer;Atividades esportivas não especificadas anteriormente
9319101;Cultura e Lazer;Produção e promoção de eventos esportivos
9319199;Cultura e Lazer;Outras atividades esportivas não especificadas anteriormente
93212;Cultura e Lazer;Parques de diversão e parques temáticos
9321200;Cultura e Lazer;Parques de diversão e parques temáticos
93298;Cultura e Lazer;Atividades de recreação e lazer não especificadas anteriormente
9329801;Cultura e Lazer;Discotecas, danceterias, salões de dança e similares
9329802;Cultura e Lazer;Exploração de boliches
9329803;Cultura e Lazer;Exploração de jogos de sinuca, bilhar e similares
9329804;Cultura e Lazer;Exploração de jogos eletrônicos recreativos
9329899;Cultura e Lazer;Outras atividades de recreação e lazer não especificadas anteriormente
62103;Transporte Aéreo;Transporte aéreo, regular
62200;Transporte Aéreo;Transporte aéreo, não-regular
51111;Transporte Aéreo;Transporte aéreo de passageiros regular
5111100;Transporte Aéreo;Transporte aéreo de passageiros regular
51129;Transporte Aéreo;Transporte aéreo de passageiros não regular
5112901;Transporte Aéreo;Serviço de táxi aéreo e locação de aeronaves com tripulação
5112999;Transporte Aéreo;Outros serviços de transporte aéreo de passageiros não regular
61115;Transporte Aquaviário;Transporte marítimo de cabotagem
61123;Transporte Aquaviário;Transporte marítimo de longo curso
61212;Transporte Aquaviário;Transporte por navegação interior de passageiros
61239;Transporte Aquaviário;Transporte aquaviário urbano
50114;Transporte Aquaviário;Transporte marítimos de cabotagem
5011402;Transporte Aquaviário;Transporte marítimos de cabotagem - passageiros
50122;Transporte Aquaviário;Transporte marítimo de longo curso
5012202;Transporte Aquaviário;Transporte marítimo de longo curso - passageiros
5022002;Transporte Aquaviário;Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia
50912;Transporte Aquaviário;Transporte por navegação de travessia
5091201;Transporte Aquaviário;Transporte por navegação de travessia, municipal
5091202;Transporte Aquaviário;Transporte por navegação de travessia, intermunicipal
50998;Transporte Aquaviário;Transporte aquaviário não especificados anteriormente
5099801;Transporte Aquaviário;Transporte aquaviário para passeios turísticos
5099899;Transporte Aquaviário;Outros transportes aquaviários não especificados anteriormente
49230;Transporte Terrestre;Transporte rodoviário de táxi
4923001;Transporte Terrestre;Serviço de táxi
4923002;Transporte Terrestre;Serviço de transporte de passageiros - locação de automóvel com motorista
49299;Transporte Terrestre;Transp. rodov. coletivo de passageiros, sob regime de fretamento, e outros tranp. rodov. Não especificados anteriormente
4929901;Transporte Terrestre;Transp. rodov. coletivo de passageiros, sob regime de fretamento municipal
4929903;Transporte Terrestre;Organização de excursões em veículos rodoviários próprios, municipal
4929999;Transporte Terrestre;Outros transportes rodoviários de passageiros não especificados anteriormente
49507;Transporte Terrestre;Trens turísticos, teleféricos e similares
4950700;Transporte Terrestre;Trens turísticos, teleféricos e similares Outras Atividades
60240;Outras Atividades;Transp. rodoviário de passageiros, regular, não urbano
60259;Outras Atividades;Transp. rodoviário de passageiros, não regular
60291;Outras Atividades;Transp. regular de bondes, funiculares, teleféricos ou trens próprios para exploração de pontos turísticos
49221;Outras Atividades;Transp. rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e v
4922101;Outras Atividades;Transp. rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana
4922102;Outras Atividades;Transp. rodov. coletivo de passageiros, com itinerário fixo, interestadual
4922103;Outras Atividades;Transp. rodov. coletivo de passageiros, com itinerário fixo, internacional
49299;Outras Atividades;Transp. rodov. coletivo de passageiros, sob regime de fretamento, e outros tranp. rodov. não especificados anteriormente
4929902;Outras Atividades;Transp. rodov. coletivo de passag., sob regime de fretamento, intermun., interest. e internacional
4929904;Outras Atividades;Organização de excursões em veículos rodoviários próprios, intermun., interest. e internacional
